REFERENCIAS;cor;Peso;cor2;peso3;cor4;peso5;cor6;peso7;cor8;Coluna1
ATAC 6AL 189 6MM;189;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 533 6MM;533;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M4167 100/030 10MM;100;0.0024;30;0.00087;;;;;;
FITA M4167 189/043 10MM;189;0.0024;43;0.00087;;;;;;
ATAC 6AL 101 6MM;101 LAVADO;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M3225 313 13MM;313;0.0024;;;;;;;;
ATAC M21020 753/1P STEEL GREY 8MM;753/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 841/1P 8MM;841/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 840/1P 8MM;840/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 752/1P 8MM;752/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 481/1P 8MM;481/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 746/1P NAVY POLIMP 8MM;746/1 RECICLADO;0.0031;;;;;;;;
FITA MDP 2T 004/1P 15MM;004/1P;0.0032;;;;;;;;
FITA MDP 2T 481/1P 15MM;481/1P;0.0032;;;;;;;;
FITA 726 100 10MM;100;0.0024;;;;;;;;
ELASTICO 16410 290 7MM;290;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELASTICO 16410 307 7MM;307;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELASTICO 16410 317 7MM;317;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELASTICO 16410 180 7MM;180;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELASTICO 16410 038 7MM;38;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELASTICO 16410 176 7MM;176;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
FITA MFGP 140 28MM;140;0.006;;;;;;;;
FITA MFGP  055 28MM;55;0.006;;;;;;;;
FITA MFGP 182 28MM;182;0.006;;;;;;;;
FITA MFGP 100 28MM;100;0.006;;;;;;;;
FITA MFGP 321 28MM;321;0.006;;;;;;;;
ATAC 6ALF 066/104 6MM;66;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
FITA MDP 062/1P 13MM;062/1P;0.0029;;;;;;;;
ELASTICO TR-286 100 2.5MM;100;0.00096;BORRACHA PRETA 28;0.00068;;;;;;
FITA KK 213 8MM;213;0.0024;NYLON BRANCO;0.00087;;;;;;
ELASTICO 16410 611 7MM;611;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC 11628 175 7MM;175;0.0022;;;;;;;;
ATAC 6AL 466 6MM;466;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 410 6MM;410;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 065 6MM;65;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 338 6MM;338;0.0028;ENCHIMENTO;0.00087;;;;;;
ELAST MTM ENGOMADO 223 40MM;223;0.0078;BORRACHA BRANCA 38;0.0052;;;;;;
ELAST MTM ENGOMADO 065 40MM;65;0.0078;BORRACHA PRETA 38;0.0052;;;;;;
ELAST MTM ENGOMADO 466 40MM;466;0.0078;BORRACHA BRANCA 38;0.0052;;;;;;
ELAST MTM ENGOMADO 189 40MM;189;0.0078;BORRACHA BRANCA 38;0.0052;;;;;;
ELAST MTM ENGOMADO 410 40MM;410;0.0078;BORRACHA BRANCA 38;0.0052;;;;;;
ELAST MTM ENGOMADO 338 40MM;338;0.0078;BORRACHA BRANCA 38;0.0052;;;;;;
FITA M32107 223 12MM;223;0.0055;;;;;;;;
FITA M32107 065 12MM;65;0.0055;;;;;;;;
FITA M32107 466 12MM;466;0.0055;;;;;;;;
FITA M32107 189 12MM;189;0.0055;;;;;;;;
FITA M32107 410 12MM;410;0.0055;;;;;;;;
FITA M32107 338 12MM;338;0.0055;;;;;;;;
ATAC M8081 LIGHT GREY 7MM;LIGHT GREY (FIO 30/2);0.0037;;;;;;;;
FITA MDP 199/1P 13MM;199/1P;0.0029;;;;;;;;
FITA MDP 053/1P 13MM;053/1P;0.0029;;;;;;;;
FITA MDP 799/1P 13MM;799/1P;0.0029;;;;;;;;
ELAST CANELADO 060/1 10MM;060/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC 6ALF 312/059 6MM;312;0.0009;59;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M16063 016/435;16;0.0029;435;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M16063 042/100;42;0.0029;100;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M16063 016/100;16;0.0029;100;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M16063 312;312;0.0031;ENCHIMENTO;0.00087;;;;;;
ATAC M16063 100;100;0.0031;ENCHIMENTO;0.00087;;;;;;
ATAC M16063 001/100;1;0.0029;100;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M16063 100/099;100;0.0029;99;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M16063 317/100 ;317;0.0029;100;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M10045 169/003 6MM;169;0.0029;3;0.00087;ENCHIMENTO;0.00085;;;;
ATAC M10045 522/100 6MM;522;0.0029;100;0.00087;ENCHIMENTO;0.00085;;;;
ATAC M18006 312;312;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M18006 045;45;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M18006 094;94;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M18006 317;317;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC 6ALF 100/338 6MM;100;0.0009;338;0.0022;ENCHIMENTO;0.00087;;;;
FITA 165/084 BARCELONA 10MM;165;0.0029;84;0.00087;;;;;;
FITA 058/102/084 PSG 10MM;58;0.0029;102;0.00087;84;0.000889;;;;
FITA 084/102/100 SAO PAULO 10MM;84;0.0029;102 LAVADO;0.00087;100;0.000889;;;;
FITA 102/128 10MM;102 LAVADO;0.0029;128;0.00087;;;;;;
ATAC 14163 046 6MM;46;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 176 6MM;176;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 530 6MM;530;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 639 6MM;639;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 210 6MM;210;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA MDP 2T HAVANNA POLIMP 15MM;752/1P;0.0032;;;;;;;;
ATAC M12103 102/100 8MM;102 LAVADO;0.0029;100;0.00087;;;;;;
ATAC M12103 102/290 8MM;102 LAVADO;0.0029;290;0.00087;;;;;;
ATAC M12103 102/515 8MM;102 LAVADO;0.0029;515;0.00087;;;;;;
ATAC M22019 611/102 8MM;611;0.0029;102 LAVADO;0.00087;;;;;;
ATAC M12115 010 HAVANNA 8MM;10;0.0029;;;;;;;;
ATAC M22019 059/102 8MM;59;0.0029;102 LAVADO;0.00087;;;;;;
FITA MFP 181 CALIF BLUE 10MM;181;0.0054;;;;;;;;
ATAC M12115 099 OXIDE 8MM;99;0.0029;;;;;;;;
ATAC M12115 057 8MM;57;0.0029;;;;;;;;
ATAC M12115 494 8MM;494;0.0029;;;;;;;;
ATAC M22010 181/1P 5MM;181/1 RECICLADO;0.0037;;;;;;;;
ATAC M22010 100/1P 5MM ;100/1 RECICLADO;0.0037;;;;;;;;
ATAC M22010 513/1P 5MM;513/1 RECICLADO;0.0037;;;;;;;;
ATAC M22010 494/1P 5MM;494/1 RECICLADO;0.0037;;;;;;;;
ATAC M8081 BLUE INDIGO ALPINA 7MM;BLUE INDIGO (30-2);0.0037;;;;;;;;
ATAC M8081 2161 OXIDE 7MM;2161;0.0037;;;;;;;;
ATAC M8081 2158 NEW CRIMSON 7MM;2158;0.0037;;;;;;;;
ATAC M8081 2167 SHADOW 7MM;2167;0.0037;;;;;;;;
FITA MFP 100 10MM;100;0.0054;;;;;;;;
FITA MFP 513 LIGHT GREY 10MM;513;0.0054;;;;;;;;
FITA MFP 494 SHADOW 10MM;494;0.0054;;;;;;;;
FITA M4180 189/1P LIGHT GREY 9MM;189/1P;0.0029;;;;;;;;
FITA MDP 867/1P OXIDE 15MM;867/1P;0.0032;;;;;;;;
ATAC 6ALF 365/373 6MM;365;0.0009;373;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 624/104 6MM;624;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M16063 118;118;0.0031;ENCHIMENTO;0.00087;;;;;;
ATAC 11628 182 7MM;182;0.0022;;;;;;;;
ELAST CANELADO ZW 061/1 10MM;061/1;0.0064;BORRACHA REVESTIDA PRETA;0.00038;BORRACHA PRETA 38;0.00084;;;;
ELASTICO 16410 022 7MM;22;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC M12015 310 8MM;310;0.0039;;;;;;;;
ATAC 6ALF 786/104 6MM;786;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 427/739 6MM;427;0.0009;739;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M12015 740 8MM;740;0.0039;;;;;;;;
FITA KK 100 8MM;213;0.0029;NYLON BRANCO;0.00087;;;;;;
ELAST CANELADO 116/1 10MM;116/1;0.0064;BORRACHA REVESTIDA PRETA;0.00038;BORRACHA PRETA 38;0.00084;;;;
ELAST CANELADO 165/1 10MM;165/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO 081/1 10MM;081/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC M6034 2157 GREY FIVE 8MM;2157;0.0077;;PESO ALTERADO 01/07/24;;;;;;
CORDAO M9043 378;378;0.0009;ENCHIMENTO;0.00087;;;;;;
CORDAO M9043 513;513;0.0009;ENCHIMENTO;0.00087;;;;;;
CORDAO M9043 075;75;0.0009;ENCHIMENTO;0.00087;;;;;;
ATAC M8081 2000 WHITE 7MM;2000;0.0037;;;;;;;;
ATAC M12026 821 8MM;821;0.0029;;;;;;;;
ATAC M12026 100 8MM;100;0.0029;;;;;;;;
ATAC M12026 368 8MM;368;0.0029;;;;;;;;
ATAC M12026 094 8MM;94;0.0029;;;;;;;;
ATAC M12026 102 8MM;102 LAVADO;0.0029;;;;;;;;
ATAC M12103 494/459 8MM;494;0.0029;459;0.00087;;;;;;
ATAC M22019 100/118 8MM;100;0.0029;118;0.00087;;;;;;
FITA MFP 021 10MM;21;0.0054;;;;;;;;
ATAC M10046 136 6MM;136;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10030 170/278 6MM;170;0.0029;278;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 612/100 6MM;612;0.0029;100;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 278/578 6MM;278;0.0029;578;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 338/533 6MM;338;0.0029;533;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 100/612 6MM;100;0.0029;612;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10046 180 6MM;180;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6ALF 212/104 6MM;212;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 416/059 6MM;416;0.0009;59;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 786/100 6MM;786;0.0009;100;0.0022;ENCHIMENTO;0.00087;;;;
ELASTICO TR-286 056 2,5MM;56;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
ELASTICO TR-286 113 2,5MM;113;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
ELASTICO TR-286 035 2,5MM;35;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
ATAC 11628 239 7MM;239;0.0022;;;;;;;;
ATAC 11628 101 7MM;101 LAVADO;0.0022;;;;;;;;
ATAC 11628 148 7MM;148;0.0022;;;;;;;;
ELAST CANELADO ZW 082/1 10MM;082/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO ZW 146/1 10MM;146/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO ZW 323/1 10MM;323/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO ZW 173/1 10MM;173/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO ZW 310/1 10MM;310/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELASTICO TR-286 218 2,5MM;218;0.0029;;;;;;;;
FITA 726 100 15MM;100;0.0029;;;;;;;;
ATAC M22010 021/1P 5MM;021/1 RECICLADO;0.0037;;;;;;;;
ELASTICO 16410 296 7MM;296;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC 11628 305 7MM;305;0.0022;;;;;;;;
ATAC 11628 285 7MM;285;0.0022;;;;;;;;
ATAC 11628 176 7MM;176;0.0022;;;;;;;;
ATAC M8081 2167 GRIGIO SCURO 7MM;2167;0.0037;;;;;;;;
ELASTICO TR-286 256 2,5MM;256;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
FITA 726 183 15MM;183;0.0029;;;;;;;;
ELASTICO 16410 146 7MM;146;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC M12103 459/494 8MM;459/1;0.0029;494;0.00087;;;;;;
ATAC 6ALF 104/427 6MM;104;0.0009;427;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M18006 129 ;129;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 223 6MM;223;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M8081 2168 7MM;2168;0.0037;;;;;;;;
ATAC M8081 PINK 244 (SEM COR AINDA) 7MM;2170;0.0037;;;;;;;;
ATAC M4000/4 101;101 LAVADO;0.0054;;;;;;;;
ATAC M4000/4 326;326;0.0054;;;;;;;;
ATAC M4000/4 220;220;0.0054;;;;;;;;
ATAC M4000/4 124;124;0.0054;;;;;;;;
ATAC M8081 2169 7MM;2169;0.0037;;;;;;;;
ATAC M4000/4 046;46;0.0054;;;;;;;;
ATAC M4000/4 167;167;0.0054;;;;;;;;
ATAC M4000/4 604;604;0.0054;;;;;;;;
ATAC M4000/4 197;197;0.0054;;;;;;;;
FITA MDP 051/1P 13MM;051/1P;0.0029;;;;;;;;
ELASTICO 16410 102 7MM;102 LAVADO;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC 6ALF 042/100 6MM;42;0.0009;100;0.0022;ENCHIMENTO;0.00087;;;;
ELAST CANELADO ZW 234/1 10MM;234/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC 14163 321 6MM;321;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 11628 190 7MM;190;0.0022;;;;;;;;
ELAST 16410 323 7MM;323;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC 6ALF 212/100 6MM;212;0.0009;100;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 136/104 6MM;136;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
FITA M32107 278 15MM;278;0.0069;;;;;;;;
ATAC M10046 643 6MM;643;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 630 6MM;630;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 577 6MM;557;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 365 6MM;365;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M32107 643 15MM;643;0.0069;;;;;;;;
FITA M32107 630 15MM;630;0.0069;;;;;;;;
FITA M32107 102 15MM;102 LAVADO;0.0069;;;;;;;;
ATAC M12015 312 8MM;312;0.0039;;;;;;;;
ATAC M21020 481/1P WHITE 8MM;481/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 BROWN 04 8MM;004/1 RECICLADO;0.0031;;;;;;;;
FITA M32107 189 10MM;189;0.0047;;;;;;;;
FITA M32107 189 15MM;189;0.0069;;;;;;;;
ATAC 6AL 452 6MM;452;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M32107 452 10MM;452;0.0047;;;;;;;;
FITA M32107 452 15MM;452;0.0069;;;;;;;;
ATAC 6ALF 020/104 6MM;20;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 11628 295 7MM;295;0.0022;;;;;;;;
ATAC 11628 170 7MM;170;0.0022;;;;;;;;
ATAC M6079 2001 8MM;2001 (30-2);0.0029;;;;;;;;
ATAC M16100 100 4MM;100;0.0029;ENCHIMENTO;0.00087;;;;;;
ATAC M16100 161 4MM;161;0.0029;ENCHIMENTO;0.00087;;;;;;
ATAC M3000/6 100/494 4MM;100;0.0029;494;0.00087;ENCHIMENTO;0.0024;;;;
ATAC M3000/6 100/012 4MM;100;0.0029;12;0.00087;ENCHIMENTO;0.0024;;;;
ATAC M6079 MALBEC (ALPINA) 8MM;MALBEC 30-2;0.0029;;;;;;;;
ATAC M6079 2172 NAVY 8MM;NAVY 30-2;0.0029;;;;;;;;
ATAC M6079 JEANS (ALPINA) 8MM;JEANS 30-2;0.0029;;;;;;;;
ATAC M6079 2000 8MM;2000;0.0029;;;;;;;;
ATAC M6079 CARAMELO (ALPINA) 8MM;CARAMELO 30-2;0.0029;;;;;;;;
ELAST MTM 100 35MM;100;0.016;BORRACHA PRETA 38;0.011;;;;;;
ELAST MTM 102 35MM;102 LAVADO;0.016;BORRACHA PRETA 38;0.011;;;;;;
FITA MFP 100 12MM;100;0.0055;;;;;;;;
FITA MFP 161 12MM;161;0.0055;;;;;;;;
FITA MFP 735 NEW NAVY 12MM;735;0.0055;;;;;;;;
FITA MDP 2T 481/1P WHITE 15MM;481/1P;0.0032;;;;;;;;
FITA MDP 2T 161/1P 15MM;161/1P;0.0032;;;;;;;;
FITA MDP 2T JEANS (POLIMP) 15MM;JEANS (POLIMP);0.0032;;;;;;;;
FITA MDP 2T RED (POLIMP) 15MM;RED (POLIMP);0.0032;;;;;;;;
FITA MDP 2T 873/1P NEW NAVY 15MM;873/1P;0.0032;;;;;;;;
ATAC 3000/6 030/058 4MM;30;0.0029;58;0.00087;ENCHIMENTO;0.0024;;;;
FITA 726 290 15MM;290;0.0029;;;;;;;;
ELAST 16410 101 7MM;101 LAVADO;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
FITA 726 248 15MM;248;0.0029;;;;;;;;
ELAST TR-286 270 2,5MM;270;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
ATACADOR M9030 187 1,5MM;187;0.0009;;;;;;;;
FITA 726 010 15MM;10;0.0029;;;;;;;;
ATAC 14163 115/321 6MM;115;0.002;321;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 199/295 6MM;199;0.002;295;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 3000/6 056/006 4MM;56;0.0029;6;0.00087;ENCHIMENTO;0.0024;;;;
ATAC M18006 129;129;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M13475 100;100;0.0029;;;;;;;;
ATAC M13475 278;278;0.0029;;;;;;;;
ATAC M13475 100/316;100;0.0029;316;0.00087;;;;;;
ATAC M13475 260/079;260;0.0029;79;0.00087;;;;;;
ATAC M18006 541;541;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 214 6MM;214;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA 726 210 15MM ;210;0.0029;;;;;;;;
FITA 726 196 15MM;196;0.0029;;;;;;;;
ATAC 3000/6 100/038 4MM;100;0.0029;38;0.00087;ENCHIMENTO;0.0024;;;;
ATAC M12119 888/1 UNITY INK 6MM;888/1 RECICLADO;0.0042;;;;;;;;
FITA MFGP 066/102/286 10MM;66;0.0058;102 LAVADO;0.00087;286;0.000889;;;;
FITA MFGP 084/066 10MM;84;0.0021;66;0.0007;;;;;;
ATAC 11628 046 7MM;46;0.0022;;;;;;;;
FITA 726 030 15MM;30;0.0029;;;;;;;;
ATAC 14163 176/100 6MM;176;0.002;100;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 174 6MM;174;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 183/248 6MM;183;0.002;248;0.0024;ENCHIMENTO;0.00087;;;;
FITA M32107 180 15MM;180;0.0069;;;;;;;;
FITA M32107 533 15MM;533;0.0069;;;;;;;;
FITA MDP 2T 746/1P 15MM;746/1P;0.0032;;;;;;;;
ATAC M6034 2176 CRYSTAL WHITE 8MM;2176;0.0077;;PESO ALTERADO 01/07/24;;;;;;
ATAC M6034 2177 NIGHT CARGO 8MM;2177;0.0077;;PESO ALTERADO 01/07/24;;;;;;
ELAST CANELADO 231/1 10MM;231/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO 870/1 10MM;870/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO 869/1 10MM;869/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
FITA MDP 052/1P 13MM;052/1P;0.0029;;;;;;;;
ELAST CANELADO 282/1 10MM;282/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC M6034 LEGEND INK 8MM;LEGEND INK (FIO 30/2);0.0077;;PESO ALTERADO 01/07/24;;;;;;
ATAC M12113 102 8MM;102 LAVADO;0.0029;;;;;;;;
ATAC M12113 100 8MM;100;0.0029;;;;;;;;
ATAC 11628 060 7MM;60;0.0022;;;;;;;;
ATAC 11628 035 7MM ;35;0.0022;;;;;;;;
FITA 726 253 15MM;253;0.0029;;;;;;;;
ATAC M13054 290;290;0.0029;;;;;;;;
ATAC M13054 280;280;0.0029;;;;;;;;
ATAC M13054 118;118;0.0029;;;;;;;;
ELAST 16410 086 7MM;86;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ELAST 16410 064 7MM;64;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ATAC 11628 226 7MM;226;0.0022;;;;;;;;
ATAC 11628 334 7MM;334;0.0022;;;;;;;;
ATAC 11628 316 7MM;316;0.0022;;;;;;;;
FITA M3225 100 13MM;100;0.0029;;;;;;;;
ELAST CANELADO ZW 241/1 10MM;241/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST MER 016 2MM;16;0.002;BORRACHA PRETA 28;0.00068;;;;;;
ELAST M2159 140/114 7MM;140;0.00096;114;0.005;BORRACHA BRANCA 28;0.0037;;;;
ELAST M2159 321/102 7MM;321;0.00096;102 LAVADO;0.005;BORRACHA BRANCA 28;0.0037;;;;
ELAST 16410 291 7MM;291;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ELAST 16410 262 7MM;262;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ELAST 16410 270 7MM;270;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC M12103 253/100 8MM;253;0.0029;100;0.00087;;;;;;
ATAC M12103 099/494 8MM;99;0.0029;494;0.00087;;;;;;
ATAC M12103 494/100 8MM ;494;0.0029;100;0.00087;;;;;;
ATAC M13096 100 ;100;0.0035;ENCHIMENTO;0.00087;;;;;;
ATAC M13096 368;368;0.0035;ENCHIMENTO;0.00087;;;;;;
ATAC M13096 312 ;312;0.0035;ENCHIMENTO;0.00087;;;;;;
FITA MDP 867/1P 2T OXIDE 15MM;867/1P;0.0032;;;;;;;;
ATAC M22019 010 HAVANA 8MM;10;0.0029;;;;;;;;
ATAC M22019 079 NEW KAKHI 8MM;79;0.0029;;;;;;;;
FITA MDP 747/1P 2T HAVANA 15MM;747/1P;0.0032;;;;;;;;
ATAC 11628 064 7MM;64;0.0022;;;;;;;;
CORDAO M9030 226 1,5MM;226;0.0009;;;;;;;;
CORDAO M9030 310 1,5MM;310;0.0009;;;;;;;;
ELAST M2159 226/334 7MM;226;0.00096;334;0.005;BORRACHA BRANCA 28;0.0037;;;;
FITA MDP 162/1P 13MM;162/1P;0.0029;;;;;;;;
CORDAO M9030 312 1,5MM;312;0.0009;;;;;;;;
CORDAO M9030 169 1,5MM;169;0.0009;;;;;;;;
CORDAO M9030 200 1,5MM;200;0.0009;;;;;;;;
ELAST 16410 209 7MM;209;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ELAST 16410 045 7MM;45;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELAST 16410 051 7MM;51;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
FITA 726 190 15MM;190;0.0029;;;;;;;;
CORDAO M9030 248 1,5MM;248;0.0009;;;;;;;;
FITA MDP 291/1P 13MM;291/1P;0.0029;;;;;;;;
ELAST 16410 001 7MM;1;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ATAC 3000 246 3MM;246;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 317 3MM;317;0.00088;ENCHIMENTO;0.00087;;;;;;
ELAST M2159 102/030 7MM;102 LAVADO;0.00096;30;0.005;BORRACHA BRANCA 28;0.0037;;;;
ELAST M2159 045/314 7MM;45;0.00096;314;0.005;BORRACHA BRANCA 28;0.0037;;;;
ATAC 3000 114 3MM;114;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 887 6MM;887;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 884 6MM;884;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M13456 100/612;100;0.0029;612;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M13456 278/441;278;0.0029;441;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M13456 351/356;351;0.0029;356;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M13456 140/078;140;0.0029;78;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M13456 452/100;452;0.0029;100;0.00087;ENCHIMENTO;0.000827;;;;
ELAST MTM 100 25MM;100;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST MTM 278 35MM;278;0.016;BORRACHA PRETA 38;0.011;;;;;;
ELAST MTM 887 ENGOMADO 40MM;887;0.0078;BORRACHA PRETA 38;0.0052;;;;;;
ELAST MTM 884 ENGOMADO 40MM;884;0.0078;BORRACHA PRETA 38;0.0052;;;;;;
